fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date
101,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,BOND_ASIA,Bond Fund - Asia Bond Fund,債券基金 - 亞洲債券基金,Asian Bond Fund,亞洲債券基金,,2011-09-23
102,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_OTH,Equity Fund - Uncategorized Equity Fund,股票基金 - 未分類股票基金,Eurasia Fund,亞歐基金,,2011-09-23
103,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong and China Fund,中港基金,,2011-09-23
104,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,American Fund,美洲基金,,2011-09-23
105,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,,2017-07-04
106,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Green Fund,綠色退休基金,,2006-03-31
107,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,Global Bond Fund,環球債券基金,,2007-12-01
108,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,World Fund,全球基金,,2007-12-01
109,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Manager's Choice Fund,基金經理精選退休基金,,2008-08-01
110,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,Balanced Portfolio,均衡組合,,2000-12-01
111,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GCHNA,Equity Fund - Greater China Equity Fund,股票基金 - 大中華股票基金,Greater China Equity Fund,大中華股票基金,,2004-12-01
112,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_EUR,Equity Fund - Europe Equity Fund,股票基金 - 歐洲股票基金,European Equity Fund,歐洲股票基金,,2002-01-01
