scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc,scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc,fund_code
AIA MPF - Prime Value Choice,Age 65 Plus Fund,AIA,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,2017-04-01,"2,726.97",4,0.78633,5.82,3.09,7.10,-14.78,0.89,友邦強積金優選計劃,65歲後基金,友邦信託,混合資產基金 - 預設投資策略-65歲後基金,友邦强积金优选计划,"65岁后基金
",友邦信托,混合资产基金 - 预设投资策略-65岁后基金,AIA-PV-A6PFD
AIA MPF - Prime Value Choice,American Fund,AIA,Equity Fund - United States Equity Fund,2011-09-23,"7,568.72",5,0.82020,15.87,22.30,24.29,-19.30,26.50,友邦強積金優選計劃,美洲基金,友邦信託,股票基金 - 美國股票基金,友邦强积金优选计划,"美洲基金
",友邦信托,股票基金 - 美国股票基金,AIA-PV-AMFDDD
AIA MPF - Prime Value Choice,Asian Bond Fund,AIA,Bond Fund - Asia Bond Fund,2011-09-23,"1,946.28",4,0.78523,6.97,1.91,3.96,-8.62,-5.72,友邦強積金優選計劃,亞洲債券基金,友邦信託,債券基金 - 亞洲債券基金,友邦强积金优选计划,"亚洲债券基金
",友邦信托,债券基金 - 亚洲债券基金,AIA-PV-ASBDFD
AIA MPF - Prime Value Choice,Asian Equity Fund,AIA,Equity Fund - Asia Equity Fund,2004-12-01,"11,783.32",5,1.69349,34.34,7.24,13.62,-18.15,6.26,友邦強積金優選計劃,亞洲股票基金,友邦信託,股票基金 - 亞洲股票基金,友邦强积金优选计划,"亚洲股票基金
",友邦信托,股票基金 - 亚洲股票基金,AIA-PV-ASEQFD
AIA MPF - Prime Value Choice,Balanced Portfolio,AIA,Mixed Assets Fund - 41% to 60% Equity,2000-12-01,"8,739.52",4,1.66923,15.90,4.72,4.69,-16.22,0.19,友邦強積金優選計劃,均衡組合,友邦信託,混合資產基金 - 41% 至 60% 股票,友邦强积金优选计划,"均衡组合
",友邦信托,混合资产基金 - 41% to 60% 股票,AIA-PV-BLPFFF
AIA MPF - Prime Value Choice,Capital Stable Portfolio,AIA,Mixed Assets Fund - 21% to 40% Equity,2000-12-01,"4,672.81",4,1.66408,11.68,2.30,4.72,-15.00,-1.17,友邦強積金優選計劃,穩定資本組合,友邦信託,混合資產基金 - 21% 至 40% 股票,友邦强积金优选计划,"稳定资本组合
",友邦信托,混合资产基金 - 21% to 40% 股票,AIA-PV-KPSTPF
AIA MPF - Prime Value Choice,China HK Dynamic Asset Allocation Fund,AIA,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2017-07-04,"1,280.62",5,1.25540,18.04,11.49,-9.08,-13.15,-8.03,友邦強積金優選計劃,中港動態資產配置基金,友邦信託,混合資產基金 - 未分類混合資產基金,友邦强积金优选计划,"中港动态资产配置基金
",友邦信托,混合资产基金 - 未分类混合资产基金,AIA-PV-CHDFD
AIA MPF - Prime Value Choice,Core Accumulation Fund,AIA,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,2017-04-01,"9,214.27",4,0.77931,13.79,9.55,14.13,-16.22,9.63,友邦強積金優選計劃,核心累積基金,友邦信託,混合資產基金 - 預設投資策略-核心累積基金,友邦强积金优选计划,"核心累积基金
",友邦信托,混合资产基金 - 预设投资策略-核心累积基金,AIA-PV-CRACFD
AIA MPF - Prime Value Choice,Eurasia Fund,AIA,Equity Fund - Uncategorized Equity Fund,2011-09-23,"1,245.36",5,0.83797,30.48,3.31,12.97,-16.32,6.96,友邦強積金優選計劃,亞歐基金,友邦信託,股票基金 - 未分類股票基金,友邦强积金优选计划,"亚欧基金
",友邦信托,股票基金 - 未分类股票基金,AIA-PV-EAFDDD
AIA MPF - Prime Value Choice,European Equity Fund,AIA,Equity Fund - Europe Equity Fund,2002-01-01,"3,579.30",5,1.67286,33.68,1.22,19.12,-14.27,20.05,友邦強積金優選計劃,歐洲股票基金,友邦信託,股票基金 - 歐洲股票基金,友邦强积金优选计划,"欧洲股票基金
",友邦信托,股票基金 - 欧洲股票基金,AIA-PV-EUEQFD
