fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date,scheme_key,fund_en_key,fund_zh_key,match_key,match_key_zh,scheme_zh_key,match_key_zhzh,master_match_method,master_matched_on,master_scheme,master_constituent_fund,master_mpf_trustee,master_fund_type,master_launch_date,master_fund_size_hkd_m,master_risk_class,master_latest_fund_expense_ratio,master_calendar_year_return_2025,master_calendar_year_return_2024,master_calendar_year_return_2023,master_calendar_year_return_2022,master_calendar_year_return_2021,master_scheme_tc,master_constituent_fund_tc,master_mpf_trustee_tc,master_fund_type_tc,master_scheme_sc,master_constituent_fund_sc,master_mpf_trustee_sc,master_fund_type_sc,master_fund_code,master_scheme_key,master_fund_en_key,master_fund_zh_key,master_match_key,master_match_key_zh,master_scheme_zh_key,master_match_key_zhzh,master_source_priority,master_match_priority,price_match_method,price_matched_on,price_source_file,price_snapshot_date,price_month_label,price_trustee_en,price_trustee_zh,price_scheme_en,price_scheme_zh,price_fund_en,price_fund_zh,price_price_hkd,price_bid_price_hkd,price_offer_price_hkd,price_notes_en,price_notes_zh,price_scheme_key,price_fund_en_key,price_fund_zh_key,price_match_key,price_match_key_zh,price_scheme_zh_key,price_match_key_zhzh,price_source_priority,price_match_priority
101,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,BOND_ASIA,Bond Fund - Asia Bond Fund,債券基金 - 亞洲債券基金,Asian Bond Fund,亞洲債券基金,,2011-09-23,aia mpf - prime value choice,asian bond fund,亞洲債券基金,aia mpf - prime value choice||asian bond fund,aia mpf - prime value choice||亞洲債券基金,友邦強積金優選計劃,友邦強積金優選計劃||亞洲債券基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Asian Bond Fund,AIA,Bond Fund - Asia Bond Fund,2011-09-23,"1,946.28",4,0.78523,6.97,1.91,3.96,-8.62,-5.72,友邦強積金優選計劃,亞洲債券基金,友邦信託,債券基金 - 亞洲債券基金,友邦强积金优选计划,"亚洲债券基金
",友邦信托,债券基金 - 亚洲债券基金,AIA-PV-ASBDFD,aia mpf - prime value choice,asian bond fund,亞洲債券基金,aia mpf - prime value choice||asian bond fund,aia mpf - prime value choice||亞洲債券基金,友邦強積金優選計劃,友邦強積金優選計劃||亞洲債券基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Asian Bond Fund,亞洲債券基金,120.48,,,3a,"4b, 4d",aia mpf - prime value choice,asian bond fund,亞洲債券基金,aia mpf - prime value choice||asian bond fund,aia mpf - prime value choice||亞洲債券基金,友邦強積金優選計劃,友邦強積金優選計劃||亞洲債券基金,1.0,1.0
102,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_OTH,Equity Fund - Uncategorized Equity Fund,股票基金 - 未分類股票基金,Eurasia Fund,亞歐基金,,2011-09-23,aia mpf - prime value choice,eurasia fund,亞歐基金,aia mpf - prime value choice||eurasia fund,aia mpf - prime value choice||亞歐基金,友邦強積金優選計劃,友邦強積金優選計劃||亞歐基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Eurasia Fund,AIA,Equity Fund - Uncategorized Equity Fund,2011-09-23,"1,245.36",5,0.83797,30.48,3.31,12.97,-16.32,6.96,友邦強積金優選計劃,亞歐基金,友邦信託,股票基金 - 未分類股票基金,友邦强积金优选计划,"亚欧基金
",友邦信托,股票基金 - 未分类股票基金,AIA-PV-EAFDDD,aia mpf - prime value choice,eurasia fund,亞歐基金,aia mpf - prime value choice||eurasia fund,aia mpf - prime value choice||亞歐基金,友邦強積金優選計劃,友邦強積金優選計劃||亞歐基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Eurasia Fund,亞歐基金,268.54,,,3a,"4b, 4d",aia mpf - prime value choice,eurasia fund,亞歐基金,aia mpf - prime value choice||eurasia fund,aia mpf - prime value choice||亞歐基金,友邦強積金優選計劃,友邦強積金優選計劃||亞歐基金,1.0,1.0
103,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_HK,Equity Fund - Hong Kong Equity Fund,股票基金 - 香港股票基金,Hong Kong and China Fund,中港基金,,2011-09-23,aia mpf - prime value choice,hong kong and china fund,中港基金,aia mpf - prime value choice||hong kong and china fund,aia mpf - prime value choice||中港基金,友邦強積金優選計劃,友邦強積金優選計劃||中港基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Hong Kong and China Fund,AIA,Equity Fund - Hong Kong Equity Fund,2011-09-23,"6,351.45",6,0.77514,30.16,21.81,-11.15,-13.38,-13.64,友邦強積金優選計劃,中港基金,友邦信託,股票基金 - 香港股票基金,友邦强积金优选计划,"中港基金
",友邦信托,股票基金 - 香港股票基金,AIA-PV-HKCFD,aia mpf - prime value choice,hong kong and china fund,中港基金,aia mpf - prime value choice||hong kong and china fund,aia mpf - prime value choice||中港基金,友邦強積金優選計劃,友邦強積金優選計劃||中港基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Hong Kong and China Fund,中港基金,183.67,,,3a,"4b, 4d",aia mpf - prime value choice,hong kong and china fund,中港基金,aia mpf - prime value choice||hong kong and china fund,aia mpf - prime value choice||中港基金,友邦強積金優選計劃,友邦強積金優選計劃||中港基金,1.0,1.0
104,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,American Fund,美洲基金,,2011-09-23,aia mpf - prime value choice,american fund,美洲基金,aia mpf - prime value choice||american fund,aia mpf - prime value choice||美洲基金,友邦強積金優選計劃,友邦強積金優選計劃||美洲基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,American Fund,AIA,Equity Fund - United States Equity Fund,2011-09-23,"7,568.72",5,0.82020,15.87,22.30,24.29,-19.30,26.50,友邦強積金優選計劃,美洲基金,友邦信託,股票基金 - 美國股票基金,友邦强积金优选计划,"美洲基金
",友邦信托,股票基金 - 美国股票基金,AIA-PV-AMFDDD,aia mpf - prime value choice,american fund,美洲基金,aia mpf - prime value choice||american fund,aia mpf - prime value choice||美洲基金,友邦強積金優選計劃,友邦強積金優選計劃||美洲基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,American Fund,美洲基金,474.16,,,3a,"4b, 4d",aia mpf - prime value choice,american fund,美洲基金,aia mpf - prime value choice||american fund,aia mpf - prime value choice||美洲基金,友邦強積金優選計劃,友邦強積金優選計劃||美洲基金,1.0,1.0
105,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,,2017-07-04,aia mpf - prime value choice,china hk dynamic asset allocation fund,中港動態資產配置基金,aia mpf - prime value choice||china hk dynamic asset allocation fund,aia mpf - prime value choice||中港動態資產配置基金,友邦強積金優選計劃,友邦強積金優選計劃||中港動態資產配置基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,China HK Dynamic Asset Allocation Fund,AIA,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2017-07-04,"1,280.62",5,1.25540,18.04,11.49,-9.08,-13.15,-8.03,友邦強積金優選計劃,中港動態資產配置基金,友邦信託,混合資產基金 - 未分類混合資產基金,友邦强积金优选计划,"中港动态资产配置基金
",友邦信托,混合资产基金 - 未分类混合资产基金,AIA-PV-CHDFD,aia mpf - prime value choice,china hk dynamic asset allocation fund,中港動態資產配置基金,aia mpf - prime value choice||china hk dynamic asset allocation fund,aia mpf - prime value choice||中港動態資產配置基金,友邦強積金優選計劃,友邦強積金優選計劃||中港動態資產配置基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,118.37,,,3a,"4b, 4d",aia mpf - prime value choice,china hk dynamic asset allocation fund,中港動態資產配置基金,aia mpf - prime value choice||china hk dynamic asset allocation fund,aia mpf - prime value choice||中港動態資產配置基金,友邦強積金優選計劃,友邦強積金優選計劃||中港動態資產配置基金,1.0,1.0
106,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,Green Fund,綠色退休基金,,2006-03-31,aia mpf - prime value choice,green fund,綠色退休基金,aia mpf - prime value choice||green fund,aia mpf - prime value choice||綠色退休基金,友邦強積金優選計劃,友邦強積金優選計劃||綠色退休基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Green Fund,AIA,Equity Fund - Global Equity Fund,2006-03-31,"8,692.71",5,1.40513,18.43,17.29,22.90,-18.79,21.87,友邦強積金優選計劃,綠色退休基金,友邦信託,股票基金 - 環球股票基金,友邦强积金优选计划,"绿色退休基金
",友邦信托,股票基金 - 环球股票基金,AIA-PV-GNFDDD,aia mpf - prime value choice,green fund,綠色退休基金,aia mpf - prime value choice||green fund,aia mpf - prime value choice||綠色退休基金,友邦強積金優選計劃,友邦強積金優選計劃||綠色退休基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Green Fund,綠色退休基金,392.4,,,3a,"4b, 4d",aia mpf - prime value choice,green fund,綠色退休基金,aia mpf - prime value choice||green fund,aia mpf - prime value choice||綠色退休基金,友邦強積金優選計劃,友邦強積金優選計劃||綠色退休基金,1.0,1.0
107,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,BOND_GLOB,Bond Fund - Global Bond Fund,債券基金 - 環球債券基金,Global Bond Fund,環球債券基金,,2007-12-01,aia mpf - prime value choice,global bond fund,環球債券基金,aia mpf - prime value choice||global bond fund,aia mpf - prime value choice||環球債券基金,友邦強積金優選計劃,友邦強積金優選計劃||環球債券基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Global Bond Fund,AIA,Bond Fund - Global Bond Fund,2007-12-01,"3,478.58",4,0.97634,6.33,-1.64,5.09,-19.55,-5.61,友邦強積金優選計劃,環球債券基金,友邦信託,債券基金 - 環球債券基金,友邦强积金优选计划,"环球债券基金
",友邦信托,债券基金 - 环球债券基金,AIA-PV-GLBDFD,aia mpf - prime value choice,global bond fund,環球債券基金,aia mpf - prime value choice||global bond fund,aia mpf - prime value choice||環球債券基金,友邦強積金優選計劃,友邦強積金優選計劃||環球債券基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Global Bond Fund,環球債券基金,115.64,,,3a,"4b, 4d",aia mpf - prime value choice,global bond fund,環球債券基金,aia mpf - prime value choice||global bond fund,aia mpf - prime value choice||環球債券基金,友邦強積金優選計劃,友邦強積金優選計劃||環球債券基金,1.0,1.0
108,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_GLOB,Equity Fund - Global Equity Fund,股票基金 - 環球股票基金,World Fund,全球基金,,2007-12-01,aia mpf - prime value choice,world fund,全球基金,aia mpf - prime value choice||world fund,aia mpf - prime value choice||全球基金,友邦強積金優選計劃,友邦強積金優選計劃||全球基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,World Fund,AIA,Equity Fund - Global Equity Fund,2007-12-01,"4,846.61",5,0.83946,20.55,15.48,20.17,-18.22,19.17,友邦強積金優選計劃,全球基金,友邦信託,股票基金 - 環球股票基金,友邦强积金优选计划,"全球基金
",友邦信托,股票基金 - 环球股票基金,AIA-PV-WDFDDD,aia mpf - prime value choice,world fund,全球基金,aia mpf - prime value choice||world fund,aia mpf - prime value choice||全球基金,友邦強積金優選計劃,友邦強積金優選計劃||全球基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,World Fund,全球基金,287.91,,,3a,"4b, 4d",aia mpf - prime value choice,world fund,全球基金,aia mpf - prime value choice||world fund,aia mpf - prime value choice||全球基金,友邦強積金優選計劃,友邦強積金優選計劃||全球基金,1.0,1.0
109,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,Manager's Choice Fund,基金經理精選退休基金,,2008-08-01,aia mpf - prime value choice,manager's choice fund,基金經理精選退休基金,aia mpf - prime value choice||manager's choice fund,aia mpf - prime value choice||基金經理精選退休基金,友邦強積金優選計劃,友邦強積金優選計劃||基金經理精選退休基金,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Manager's Choice Fund,AIA,Mixed Assets Fund - Uncategorized Mixed Asset Fund,2008-08-01,"5,510.97",4,1.46266,16.16,5.16,4.60,-16.37,2.76,友邦強積金優選計劃,基金經理精選退休基金,友邦信託,混合資產基金 - 未分類混合資產基金,友邦强积金优选计划,"基金经理精选退休基金
",友邦信托,混合资产基金 - 未分类混合资产基金,AIA-PV-MGSFDD,aia mpf - prime value choice,manager's choice fund,基金經理精選退休基金,aia mpf - prime value choice||manager's choice fund,aia mpf - prime value choice||基金經理精選退休基金,友邦強積金優選計劃,友邦強積金優選計劃||基金經理精選退休基金,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Manager's Choice Fund,基金經理精選退休基金,240.98,,,3a,"4b, 4d",aia mpf - prime value choice,manager's choice fund,基金經理精選退休基金,aia mpf - prime value choice||manager's choice fund,aia mpf - prime value choice||基金經理精選退休基金,友邦強積金優選計劃,友邦強積金優選計劃||基金經理精選退休基金,1.0,1.0
110,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,Balanced Portfolio,均衡組合,,2000-12-01,aia mpf - prime value choice,balanced portfolio,均衡組合,aia mpf - prime value choice||balanced portfolio,aia mpf - prime value choice||均衡組合,友邦強積金優選計劃,友邦強積金優選計劃||均衡組合,en_exact,scheme_en + fund_en,AIA MPF - Prime Value Choice,Balanced Portfolio,AIA,Mixed Assets Fund - 41% to 60% Equity,2000-12-01,"8,739.52",4,1.66923,15.90,4.72,4.69,-16.22,0.19,友邦強積金優選計劃,均衡組合,友邦信託,混合資產基金 - 41% 至 60% 股票,友邦强积金优选计划,"均衡组合
",友邦信托,混合资产基金 - 41% to 60% 股票,AIA-PV-BLPFFF,aia mpf - prime value choice,balanced portfolio,均衡組合,aia mpf - prime value choice||balanced portfolio,aia mpf - prime value choice||均衡組合,友邦強積金優選計劃,友邦強積金優選計劃||均衡組合,1.0,1.0,en_exact,scheme_en + fund_en,consolidated_list_for_apr_26_read_only.xls,2026-04-30,April 2026,AIA Company (Trustee) Limited,友邦 (信託) 有限公司,AIA MPF - Prime Value Choice,友邦強積金優選計劃,Balanced Portfolio,均衡組合,270.72,,,3a,"4b, 4d",aia mpf - prime value choice,balanced portfolio,均衡組合,aia mpf - prime value choice||balanced portfolio,aia mpf - prime value choice||均衡組合,友邦強積金優選計劃,友邦強積金優選計劃||均衡組合,1.0,1.0
