fund_id,trustee_id,trustee_en,trustee_zh,scheme_id,scheme_en,scheme_zh,fund_type_id,fund_type_en,fund_type_zh,fund_name_en,fund_name_zh,class,launch_date,fund_code,fund_size_hkd_m,risk_class,latest_fund_expense_ratio,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021,master_match_method,master_matched_on,snapshot_date,month_label,price_hkd,bid_price_hkd,offer_price_hkd,notes_en,notes_zh,source_file,price_match_method,price_matched_on
698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_DIS_65,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,混合資產基金 - 預設投資策略-65歲後基金,Age 65 Plus Fund,65歲後基金,,2017-04-01,AIA-PV-A6PFD,"2,726.97",4,0.78633,5.82,3.09,7.10,-14.78,0.89,en_exact,scheme_en + fund_en,2026-04-30,April 2026,1.2235,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
104,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_US,Equity Fund - United States Equity Fund,股票基金 - 美國股票基金,American Fund,美洲基金,,2011-09-23,AIA-PV-AMFDDD,"7,568.72",5,0.82020,15.87,22.30,24.29,-19.30,26.50,en_exact,scheme_en + fund_en,2026-04-30,April 2026,474.16,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
101,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,BOND_ASIA,Bond Fund - Asia Bond Fund,債券基金 - 亞洲債券基金,Asian Bond Fund,亞洲債券基金,,2011-09-23,AIA-PV-ASBDFD,"1,946.28",4,0.78523,6.97,1.91,3.96,-8.62,-5.72,en_exact,scheme_en + fund_en,2026-04-30,April 2026,120.48,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
113,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_ASIA,Equity Fund - Asia Equity Fund,股票基金 - 亞洲股票基金,Asian Equity Fund,亞洲股票基金,,2004-12-01,AIA-PV-ASEQFD,"11,783.32",5,1.69349,34.34,7.24,13.62,-18.15,6.26,en_exact,scheme_en + fund_en,2026-04-30,April 2026,540.94,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
110,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_41_60,Mixed Assets Fund - 41% to 60% Equity,混合資產基金 - 41% 至 60% 股票,Balanced Portfolio,均衡組合,,2000-12-01,AIA-PV-BLPFFF,"8,739.52",4,1.66923,15.90,4.72,4.69,-16.22,0.19,en_exact,scheme_en + fund_en,2026-04-30,April 2026,270.72,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
119,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_21_40,Mixed Assets Fund - 21% to 40% Equity,混合資產基金 - 21% 至 40% 股票,Capital Stable Portfolio,穩定資本組合,,2000-12-01,AIA-PV-KPSTPF,"4,672.81",4,1.66408,11.68,2.30,4.72,-15.00,-1.17,en_exact,scheme_en + fund_en,2026-04-30,April 2026,220.09,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
105,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_OTH,Mixed Assets Fund - Uncategorized Mixed Asset Fund,混合資產基金 - 未分類混合資產基金,China HK Dynamic Asset Allocation Fund,中港動態資產配置基金,,2017-07-04,AIA-PV-CHDFD,"1,280.62",5,1.25540,18.04,11.49,-9.08,-13.15,-8.03,en_exact,scheme_en + fund_en,2026-04-30,April 2026,118.37,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
116,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,MIX_DIS_CAF,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,混合資產基金 - 預設投資策略-核心累積基金,Core Accumulation Fund,核心累積基金,,2017-04-01,AIA-PV-CRACFD,"9,214.27",4,0.77931,13.79,9.55,14.13,-16.22,9.63,en_exact,scheme_en + fund_en,2026-04-30,April 2026,1.83,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
102,AIA,AIA,友邦,PV,AIA MPF - Prime Value Choice,友邦強積金優選計劃,EQ_OTH,Equity Fund - Uncategorized Equity Fund,股票基金 - 未分類股票基金,Eurasia Fund,亞歐基金,,2011-09-23,AIA-PV-EAFDDD,"1,245.36",5,0.83797,30.48,3.31,12.97,-16.32,6.96,en_exact,scheme_en + fund_en,2026-04-30,April 2026,268.54,,,3a,"4b, 4d",consolidated_list_for_apr_26_read_only.xls,en_exact,scheme_en + fund_en
