scheme,constituent_fund,mpf_trustee,fund_type,launch_date,fund_size_hkd_m,risk_class,latest_fer,calendar_year_return_2025,calendar_year_return_2024,calendar_year_return_2023,calendar_year_return_2022,calendar_year_return_2021
AIA MPF - Prime Value Choice,Age 65 Plus Fund,AIAT,Mixed Assets Fund - Default Investment Strategy - Age 65 Plus Fund,01-04-2017,"2,726.97",4,0.78633,5.82,3.09,7.10,-14.78,0.89
AIA MPF - Prime Value Choice,American Fund,AIAT,Equity Fund - United States Equity Fund,23-09-2011,"7,568.72",5,0.82020,15.87,22.30,24.29,-19.30,26.50
AIA MPF - Prime Value Choice,Asian Bond Fund,AIAT,Bond Fund - Asia Bond Fund,23-09-2011,"1,946.28",4,0.78523,6.97,1.91,3.96,-8.62,-5.72
AIA MPF - Prime Value Choice,Asian Equity Fund,AIAT,Equity Fund - Asia Equity Fund,01-12-2004,"11,783.32",5,1.69349,34.34,7.24,13.62,-18.15,6.26
AIA MPF - Prime Value Choice,Balanced Portfolio,AIAT,Mixed Assets Fund - 41% to 60% Equity,01-12-2000,"8,739.52",4,1.66923,15.90,4.72,4.69,-16.22,0.19
AIA MPF - Prime Value Choice,Capital Stable Portfolio,AIAT,Mixed Assets Fund - 21% to 40% Equity,01-12-2000,"4,672.81",4,1.66408,11.68,2.30,4.72,-15.00,-1.17
AIA MPF - Prime Value Choice,China HK Dynamic Asset Allocation Fund,AIAT,Mixed Assets Fund - Uncategorized Mixed Asset Fund,04-07-2017,"1,280.62",5,1.25540,18.04,11.49,-9.08,-13.15,-8.03
AIA MPF - Prime Value Choice,Core Accumulation Fund,AIAT,Mixed Assets Fund - Default Investment Strategy - Core Accumulation Fund,01-04-2017,"9,214.27",4,0.77931,13.79,9.55,14.13,-16.22,9.63
AIA MPF - Prime Value Choice,Eurasia Fund,AIAT,Equity Fund - Uncategorized Equity Fund,23-09-2011,"1,245.36",5,0.83797,30.48,3.31,12.97,-16.32,6.96
AIA MPF - Prime Value Choice,European Equity Fund,AIAT,Equity Fund - Europe Equity Fund,01-01-2002,"3,579.30",5,1.67286,33.68,1.22,19.12,-14.27,20.05
