计划,成分基金,受托人,基金类别,推出日期,基金规模百万港元,风险级别,最近期基金开支比率,历年回报_2025,历年回报_2024,历年回报_2023,历年回报_2022,历年回报_2021
友邦强积金优选计划,"65岁后基金
",友邦信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,"2,726.97",4,0.78633,5.82,3.09,7.10,-14.78,0.89
友邦强积金优选计划,"美洲基金
",友邦信托,股票基金 - 美国股票基金,23-09-2011,"7,568.72",5,0.82020,15.87,22.30,24.29,-19.30,26.50
友邦强积金优选计划,"亚洲债券基金
",友邦信托,债券基金 - 亚洲债券基金,23-09-2011,"1,946.28",4,0.78523,6.97,1.91,3.96,-8.62,-5.72
友邦强积金优选计划,"亚洲股票基金
",友邦信托,股票基金 - 亚洲股票基金,01-12-2004,"11,783.32",5,1.69349,34.34,7.24,13.62,-18.15,6.26
友邦强积金优选计划,"均衡组合
",友邦信托,混合资产基金 - 41% to 60% 股票,01-12-2000,"8,739.52",4,1.66923,15.90,4.72,4.69,-16.22,0.19
友邦强积金优选计划,"稳定资本组合
",友邦信托,混合资产基金 - 21% to 40% 股票,01-12-2000,"4,672.81",4,1.66408,11.68,2.30,4.72,-15.00,-1.17
友邦强积金优选计划,"中港动态资产配置基金
",友邦信托,混合资产基金 - 未分类混合资产基金,04-07-2017,"1,280.62",5,1.25540,18.04,11.49,-9.08,-13.15,-8.03
友邦强积金优选计划,"核心累积基金
",友邦信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"9,214.27",4,0.77931,13.79,9.55,14.13,-16.22,9.63
友邦强积金优选计划,"亚欧基金
",友邦信托,股票基金 - 未分类股票基金,23-09-2011,"1,245.36",5,0.83797,30.48,3.31,12.97,-16.32,6.96
友邦强积金优选计划,"欧洲股票基金
",友邦信托,股票基金 - 欧洲股票基金,01-01-2002,"3,579.30",5,1.67286,33.68,1.22,19.12,-14.27,20.05
友邦强积金优选计划,"环球债券基金
",友邦信托,债券基金 - 环球债券基金,01-12-2007,"3,478.58",4,0.97634,6.33,-1.64,5.09,-19.55,-5.61
友邦强积金优选计划,"大中华股票基金
",友邦信托,股票基金 - 大中华股票基金,01-12-2004,"21,443.51",6,1.67160,34.38,15.61,-5.76,-22.98,-7.15
友邦强积金优选计划,"绿色退休基金
",友邦信托,股票基金 - 环球股票基金,31-03-2006,"8,692.71",5,1.40513,18.43,17.29,22.90,-18.79,21.87
友邦强积金优选计划,"增长组合
",友邦信托,混合资产基金 - 81% to 100% 股票,01-12-2000,"18,429.21",5,1.66770,25.23,10.20,6.98,-16.80,3.71
友邦强积金优选计划,"保证组合
",友邦信托,保证基金,01-12-2000,"10,738.46",1,1.55718,1.60,1.13,0.23,0.15,0.15
友邦强积金优选计划,"中港基金
",友邦信托,股票基金 - 香港股票基金,23-09-2011,"6,351.45",6,0.77514,30.16,21.81,-11.15,-13.38,-13.64
友邦强积金优选计划,"基金经理精选退休基金
",友邦信托,混合资产基金 - 未分类混合资产基金,01-08-2008,"5,510.97",4,1.46266,16.16,5.16,4.60,-16.37,2.76
友邦强积金优选计划,"强积金保守基金
",友邦信托,货币市场基金 — 强积金保守基金,01-12-2000,"11,280.65",1,0.77701,2.15,3.23,3.08,0.66,0.11
友邦强积金优选计划,"北美股票基金
",友邦信托,股票基金 - 美国股票基金,01-01-2002,"13,258.00",5,1.67186,12.92,21.46,22.94,-17.73,27.16
友邦强积金优选计划,"全球基金
",友邦信托,股票基金 - 环球股票基金,01-12-2007,"4,846.61",5,0.83946,20.55,15.48,20.17,-18.22,19.17
AMTD强积金计划,"AMTD 安联精选均衡基金
",银联信托,混合资产基金 - 61% to 80% 股票,10-07-2009,71.25,4,1.21691,20.87,8.02,5.02,-15.76,2.15
AMTD强积金计划,"AMTD 安联精选稳定资本基金
",银联信托,混合资产基金 - 21% to 40% 股票,10-07-2009,43.78,4,1.21307,11.53,2.19,4.43,-14.43,-1.24
AMTD强积金计划,"AMTD 安联精选灵活资产基金
",银联信托,混合资产基金 - 未分类混合资产基金,10-07-2009,31.25,3,1.19388,8.77,3.16,3.53,-7.20,5.85
AMTD强积金计划,"AMTD 安联精选增长基金
",银联信托,混合资产基金 - 81% to 100% 股票,10-07-2009,114.83,5,1.22173,25.59,11.01,5.52,-16.84,4.13
AMTD强积金计划,"AMTD 安联精选稳定增长基金
",银联信托,混合资产基金 - 41% to 60% 股票,10-07-2009,97.75,4,1.19879,16.33,5.13,4.78,-15.48,0.26
AMTD强积金计划,"AMTD景顺 65 岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,28.91,4,0.86585,6.71,3.63,7.93,-14.86,0.58
AMTD强积金计划,"AMTD景顺亚洲基金
",银联信托,股票基金 - 亚洲股票基金,10-07-2009,74.73,5,1.28526,25.46,6.27,1.56,-22.81,-7.99
AMTD强积金计划,"AMTD景顺核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,67.63,4,0.86864,15.40,10.81,15.70,-16.47,9.87
AMTD强积金计划,"AMTD景顺欧洲基金
",银联信托,股票基金 - 欧洲股票基金,10-07-2009,41.93,5,1.32799,30.73,-2.88,19.31,-12.62,17.32
AMTD强积金计划,"AMTD景顺环球债券基金
",银联信托,债券基金 - 环球债券基金,10-07-2009,45.52,4,1.28576,6.33,-1.30,5.72,-13.23,-4.22
AMTD强积金计划,"AMTD景顺香港中国基金
",银联信托,股票基金 - 香港股票基金,10-07-2009,159.76,6,1.20153,30.47,12.51,-19.75,-19.57,-18.49
AMTD强积金计划,"AMTD景顺强积金保守基金
",银联信托,货币市场基金 — 强积金保守基金,10-07-2009,163.04,1,1.07379,1.91,3.13,2.63,0.30,0.00
AMTD强积金计划,"AMTD景顺目标2028退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,10-07-2009,25.47,4,1.56304,13.68,2.47,4.86,-15.10,-1.93
AMTD强积金计划,"AMTD景顺目标2038退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,10-07-2009,18.45,4,1.44876,17.29,4.40,4.68,-15.77,-1.04
AMTD强积金计划,"AMTD景顺目标2048退休基金
",银联信托,混合资产基金 - 未分类混合资产基金,10-07-2009,17.50,5,1.50239,20.79,6.00,4.18,-16.77,-0.23
AMTD强积金计划,"AMTD景顺目标现在退休基金
",银联信托,混合资产基金 - 21% to 40% 股票,10-07-2009,12.88,4,1.76868,12.01,1.32,4.80,-14.56,-2.88
交通银行愉盈退休强积金计划,"交通银行65岁后基金
",交通,混合资产基金 - 预设投资策略-65岁后基金,01-04-2017,311.83,4,0.80352,7.12,3.84,8.47,-15.18,0.69
交通银行愉盈退休强积金计划,"交通银行亚洲动力股票成分基金
",交通,股票基金 - 亚洲股票基金,25-10-2006,688.13,5,1.66070,19.97,9.44,4.62,-19.34,-2.82
交通银行愉盈退休强积金计划,"交通银行均衡成分基金
",交通,混合资产基金 - 61% to 80% 股票,10-01-2006,567.00,4,1.54952,19.00,5.85,4.54,-16.46,-0.01
交通银行愉盈退休强积金计划,"交通银行中国动力股票成分基金
",交通,股票基金 - 中国股票基金,01-06-2008,553.37,6,1.61505,30.36,17.53,-15.89,-27.08,-16.63
交通银行愉盈退休强积金计划,"交通银行核心累积基金
",交通,混合资产基金 - 预设投资策略-核心累积基金,01-04-2017,"1,044.87",4,0.80191,15.77,11.10,16.09,-16.58,10.02
交通银行愉盈退休强积金计划,"交通银行动力增长成分基金
",交通,混合资产基金 - 81% to 100% 股票,25-10-2006,545.06,5,1.60214,25.45,10.67,5.23,-17.09,3.62
交通银行愉盈退休强积金计划,"交通银行环球债券成分基金
",交通,债券基金 - 环球债券基金,15-11-2010,270.18,4,1.14956,6.07,-1.40,5.92,-12.98,-4.02
交通银行愉盈退休强积金计划,"交通银行大中华股票成分基金
",交通,股票基金 - 大中华股票基金,15-11-2010,685.58,6,1.54498,37.11,12.05,-7.43,-23.18,-10.88
交通银行愉盈退休强积金计划,"交通银行保证回报成分基金
",交通,保证基金,01-12-2000,896.91,3,1.72174,9.41,5.00,2.76,-5.25,-2.43
交通银行愉盈退休强积金计划,"交通银行香港动力股票成分基金
",交通,股票基金 - 香港股票基金,17-10-2007,520.41,6,1.56437,34.67,14.90,-12.89,-21.26,-15.60
交通银行愉盈退休强积金计划,"交通银行恒指ESG成分基金
",交通,股票基金 - 香港股票基金（追踪指数）,30-09-2009,612.09,6,0.95698,32.30,10.48,-15.51,-13.46,-12.63
