scheme_sc,constituent_fund_sc,mpf_trustee_sc,fund_type_sc
友邦强积金优选计划,"65岁后基金
",友邦信托,混合资产基金 - 预设投资策略-65岁后基金
友邦强积金优选计划,"美洲基金
",友邦信托,股票基金 - 美国股票基金
友邦强积金优选计划,"亚洲债券基金
",友邦信托,债券基金 - 亚洲债券基金
友邦强积金优选计划,"亚洲股票基金
",友邦信托,股票基金 - 亚洲股票基金
友邦强积金优选计划,"均衡组合
",友邦信托,混合资产基金 - 41% to 60% 股票
友邦强积金优选计划,"稳定资本组合
",友邦信托,混合资产基金 - 21% to 40% 股票
友邦强积金优选计划,"中港动态资产配置基金
",友邦信托,混合资产基金 - 未分类混合资产基金
友邦强积金优选计划,"核心累积基金
",友邦信托,混合资产基金 - 预设投资策略-核心累积基金
友邦强积金优选计划,"亚欧基金
",友邦信托,股票基金 - 未分类股票基金
友邦强积金优选计划,"欧洲股票基金
",友邦信托,股票基金 - 欧洲股票基金
友邦强积金优选计划,"环球债券基金
",友邦信托,债券基金 - 环球债券基金
友邦强积金优选计划,"大中华股票基金
",友邦信托,股票基金 - 大中华股票基金
友邦强积金优选计划,"绿色退休基金
",友邦信托,股票基金 - 环球股票基金
友邦强积金优选计划,"增长组合
",友邦信托,混合资产基金 - 81% to 100% 股票
友邦强积金优选计划,"保证组合
",友邦信托,保证基金
友邦强积金优选计划,"中港基金
",友邦信托,股票基金 - 香港股票基金
友邦强积金优选计划,"基金经理精选退休基金
",友邦信托,混合资产基金 - 未分类混合资产基金
友邦强积金优选计划,"强积金保守基金
",友邦信托,货币市场基金 — 强积金保守基金
友邦强积金优选计划,"北美股票基金
",友邦信托,股票基金 - 美国股票基金
友邦强积金优选计划,"全球基金
",友邦信托,股票基金 - 环球股票基金
AMTD强积金计划,"AMTD 安联精选均衡基金
",银联信托,混合资产基金 - 61% to 80% 股票
AMTD强积金计划,"AMTD 安联精选稳定资本基金
",银联信托,混合资产基金 - 21% to 40% 股票
AMTD强积金计划,"AMTD 安联精选灵活资产基金
",银联信托,混合资产基金 - 未分类混合资产基金
AMTD强积金计划,"AMTD 安联精选增长基金
",银联信托,混合资产基金 - 81% to 100% 股票
AMTD强积金计划,"AMTD 安联精选稳定增长基金
",银联信托,混合资产基金 - 41% to 60% 股票
AMTD强积金计划,"AMTD景顺 65 岁后基金
",银联信托,混合资产基金 - 预设投资策略-65岁后基金
AMTD强积金计划,"AMTD景顺亚洲基金
",银联信托,股票基金 - 亚洲股票基金
AMTD强积金计划,"AMTD景顺核心累积基金
",银联信托,混合资产基金 - 预设投资策略-核心累积基金
AMTD强积金计划,"AMTD景顺欧洲基金
",银联信托,股票基金 - 欧洲股票基金
AMTD强积金计划,"AMTD景顺环球债券基金
",银联信托,债券基金 - 环球债券基金
AMTD强积金计划,"AMTD景顺香港中国基金
",银联信托,股票基金 - 香港股票基金
AMTD强积金计划,"AMTD景顺强积金保守基金
",银联信托,货币市场基金 — 强积金保守基金
AMTD强积金计划,"AMTD景顺目标2028退休基金
",银联信托,混合资产基金 - 未分类混合资产基金
AMTD强积金计划,"AMTD景顺目标2038退休基金
",银联信托,混合资产基金 - 未分类混合资产基金
AMTD强积金计划,"AMTD景顺目标2048退休基金
",银联信托,混合资产基金 - 未分类混合资产基金
AMTD强积金计划,"AMTD景顺目标现在退休基金
",银联信托,混合资产基金 - 21% to 40% 股票
交通银行愉盈退休强积金计划,"交通银行65岁后基金
",交通,混合资产基金 - 预设投资策略-65岁后基金
交通银行愉盈退休强积金计划,"交通银行亚洲动力股票成分基金
",交通,股票基金 - 亚洲股票基金
交通银行愉盈退休强积金计划,"交通银行均衡成分基金
",交通,混合资产基金 - 61% to 80% 股票
交通银行愉盈退休强积金计划,"交通银行中国动力股票成分基金
",交通,股票基金 - 中国股票基金
交通银行愉盈退休强积金计划,"交通银行核心累积基金
",交通,混合资产基金 - 预设投资策略-核心累积基金
交通银行愉盈退休强积金计划,"交通银行动力增长成分基金
",交通,混合资产基金 - 81% to 100% 股票
交通银行愉盈退休强积金计划,"交通银行环球债券成分基金
",交通,债券基金 - 环球债券基金
交通银行愉盈退休强积金计划,"交通银行大中华股票成分基金
",交通,股票基金 - 大中华股票基金
