scheme_tc,constituent_fund_tc,mpf_trustee_tc,fund_type_tc
友邦強積金優選計劃,65歲後基金,友邦信託,混合資產基金 - 預設投資策略-65歲後基金
友邦強積金優選計劃,美洲基金,友邦信託,股票基金 - 美國股票基金
友邦強積金優選計劃,亞洲債券基金,友邦信託,債券基金 - 亞洲債券基金
友邦強積金優選計劃,亞洲股票基金,友邦信託,股票基金 - 亞洲股票基金
友邦強積金優選計劃,均衡組合,友邦信託,混合資產基金 - 41% 至 60% 股票
友邦強積金優選計劃,穩定資本組合,友邦信託,混合資產基金 - 21% 至 40% 股票
友邦強積金優選計劃,中港動態資產配置基金,友邦信託,混合資產基金 - 未分類混合資產基金
友邦強積金優選計劃,核心累積基金,友邦信託,混合資產基金 - 預設投資策略-核心累積基金
友邦強積金優選計劃,亞歐基金,友邦信託,股票基金 - 未分類股票基金
友邦強積金優選計劃,歐洲股票基金,友邦信託,股票基金 - 歐洲股票基金
友邦強積金優選計劃,環球債券基金,友邦信託,債券基金 - 環球債券基金
友邦強積金優選計劃,大中華股票基金,友邦信託,股票基金 - 大中華股票基金
友邦強積金優選計劃,綠色退休基金,友邦信託,股票基金 - 環球股票基金
友邦強積金優選計劃,增長組合,友邦信託,混合資產基金 - 81% 至 100% 股票
友邦強積金優選計劃,保證組合,友邦信託,保證基金
友邦強積金優選計劃,中港基金,友邦信託,股票基金 - 香港股票基金
友邦強積金優選計劃,基金經理精選退休基金,友邦信託,混合資產基金 - 未分類混合資產基金
友邦強積金優選計劃,強積金保守基金,友邦信託,貨幣市場基金 — 強積金保守基金
友邦強積金優選計劃,北美股票基金,友邦信託,股票基金 - 美國股票基金
友邦強積金優選計劃,全球基金,友邦信託,股票基金 - 環球股票基金
AMTD強積金計劃,AMTD 安聯精選均衡基金,銀聯信託,混合資產基金 - 61% 至 80% 股票
AMTD強積金計劃,AMTD 安聯精選穩定資本基金,銀聯信託,混合資產基金 - 21% 至 40% 股票
AMTD強積金計劃,AMTD 安聯精選靈活資產基金,銀聯信託,混合資產基金 - 未分類混合資產基金
AMTD強積金計劃,AMTD 安聯精選增長基金,銀聯信託,混合資產基金 - 81% 至 100% 股票
AMTD強積金計劃,AMTD 安聯精選穩定增長基金,銀聯信託,混合資產基金 - 41% 至 60% 股票
AMTD強積金計劃,AMTD景順 65 歲後基金,銀聯信託,混合資產基金 - 預設投資策略-65歲後基金
AMTD強積金計劃,AMTD景順亞洲基金,銀聯信託,股票基金 - 亞洲股票基金
AMTD強積金計劃,AMTD景順核心累積基金,銀聯信託,混合資產基金 - 預設投資策略-核心累積基金
AMTD強積金計劃,AMTD景順歐洲基金,銀聯信託,股票基金 - 歐洲股票基金
AMTD強積金計劃,AMTD景順環球債券基金,銀聯信託,債券基金 - 環球債券基金
AMTD強積金計劃,AMTD景順香港中國基金,銀聯信託,股票基金 - 香港股票基金
AMTD強積金計劃,AMTD景順強積金保守基金,銀聯信託,貨幣市場基金 — 強積金保守基金
